Data,RSI_14
2022-06-06,52.61040740398634
2022-06-07,55.159350730087695
2022-06-08,53.82320251064682
2022-06-09,50.118797297048026
2022-06-10,46.47171223115223
2022-06-13,43.62290370652699
2022-06-14,46.67396316386833
2022-06-15,42.65783635705123
2022-06-17,32.48148039562277
2022-06-20,35.29120874916799
2022-06-21,32.611780959221605
2022-06-22,32.25218244471647
2022-06-23,29.77700094440854
2022-06-24,28.868089927181018
2022-06-27,44.58061270034503
2022-06-28,47.13234507853766
2022-06-29,45.520092114015334
2022-06-30,44.535721674549436
2022-07-01,49.262140937556445
2022-07-04,53.68919343792948
2022-07-05,45.922055129721876
2022-07-06,43.65495286271378
2022-07-07,49.55524088607802
2022-07-08,51.70094670907904
2022-07-11,50.63051478741978
2022-07-12,47.62201048523912
2022-07-13,47.81843295743727
2022-07-14,42.49788847852859
2022-07-15,46.431967037234116
2022-07-18,51.33823765519917
2022-07-19,55.243424527026306
2022-07-20,55.243424527026306
2022-07-21,53.93391484582747
2022-07-22,56.34829745063664
2022-07-25,64.76282741763379
2022-07-26,66.41095807134245
2022-07-27,68.02171650923255
2022-07-28,72.31152387888186
2022-07-29,78.33147897954854
2022-08-01,73.94534342987218
2022-08-02,74.4322224207717
2022-08-03,74.60259061879987
2022-08-04,75.73442822465915
2022-08-05,77.93393216450394
2022-08-08,82.49152855864963
2022-08-09,83.70006620401134
2022-08-10,82.42360678642687
2022-08-11,73.9248678191917
2022-08-12,80.48705031929819
2022-08-15,80.48705031929819
2022-08-16,81.26101751128114
2022-08-17,83.04723864650173
2022-08-18,84.46917645816575
2022-08-19,68.67819698005155
2022-08-22,71.0382407749746
2022-08-23,74.18085522657249
2022-08-24,74.75919605846485
2022-08-25,71.6481655744889
2022-08-26,72.86425651402988
2022-08-29,75.44756081939035
2022-08-30,60.234926447630166
2022-08-31,63.311171869634364
2022-09-01,65.5898723515617
2022-09-02,62.74680401711338
2022-09-05,62.05707702625795
2022-09-06,54.225744754328375
2022-09-08,52.47218882128896
2022-09-09,52.47218882128896
2022-09-12,51.067659391694306
2022-09-13,45.57392198029467
2022-09-14,48.676187374689576
2022-09-15,48.30553778278999
2022-09-16,46.52510414685755
2022-09-19,49.931986369788916
2022-09-20,48.679510615823176
2022-09-21,49.28834674832097
2022-09-22,54.77712952318957
2022-09-23,42.0175743817743
2022-09-26,39.60883892671702
2022-09-27,41.12335750548183
2022-09-28,39.11613531322469
2022-09-29,39.451157683323025
2022-09-30,43.47099835125995
2022-10-03,58.17396923390022
2022-10-04,53.129322839311705
2022-10-05,58.80391532470937
2022-10-06,63.268375450000555
2022-10-07,63.001005572446076
2022-10-10,60.39005005860619
2022-10-11,58.73444335386188
2022-10-13,63.01163064628499
2022-10-14,59.34700560725236
2022-10-17,59.06245360767451
2022-10-18,62.98100869015171
2022-10-19,67.83345403524763
2022-10-20,71.33978057687256
2022-10-21,74.85869550328776
2022-10-24,54.76858864596222
2022-10-25,51.644503677633324
2022-10-26,48.3447410468191
2022-10-27,49.38947420607698
2022-10-28,47.74299029534923
2022-10-31,37.86856000590596
2022-11-01,38.167953874051754
2022-11-03,38.59284132566902
2022-11-04,33.50932207036311
2022-11-07,30.50167360067276
2022-11-08,31.66056475135889
2022-11-09,30.45728435215733
2022-11-10,28.39691113042916
2022-11-11,33.720703856747036
2022-11-14,37.88466745391586
2022-11-16,35.99075372554381
2022-11-17,36.11359147160507
2022-11-18,34.47487310450359
2022-11-21,35.02705609466656
2022-11-22,34.174171010821155
2022-11-23,35.10240766707622
2022-11-24,41.870276030610874
2022-11-25,39.73597010212751
2022-11-28,43.67146485701538
2022-11-29,50.83391254353976
2022-11-30,57.97732724367925
2022-12-01,51.28967613769055
2022-12-02,53.03973204099113
2022-12-05,51.276217493032895
2022-12-06,51.38501340986624
2022-12-07,49.36692011855838
2022-12-08,45.72644596156054
2022-12-09,45.27698280891167
2022-12-12,40.45886368796991
2022-12-13,37.23482353973698
2022-12-14,29.492978136384295
2022-12-15,34.037553129653915
2022-12-16,34.18032785165963
2022-12-19,36.8307641908086
2022-12-20,42.256304820509534
2022-12-21,45.97227445398249
2022-12-22,48.78716138166296
2022-12-23,55.703145382192794
2022-12-26,54.465485761443034
2022-12-27,55.52957360081184
2022-12-28,53.12311977702023
2022-12-29,50.88045046032236
2023-01-02,41.09835535701822
2023-01-03,38.168196354752844
2023-01-04,43.432760980524
2023-01-05,48.93450799815968
2023-01-06,48.07736534416522
2023-01-09,49.03867493753596
2023-01-10,50.51854954759599
2023-01-11,51.897497890316046
2023-01-12,54.38647664439989
2023-01-13,53.78703650866036
2023-01-16,49.39018784225412
2023-01-17,59.39827541660025
2023-01-18,55.72506584649041
2023-01-19,60.11776217703368
2023-01-20,62.97011681426127
2023-01-23,65.05392001103326
2023-01-24,63.29581236419428
2023-01-25,65.0526508229681
2023-01-26,58.39842244917675
2023-01-27,53.87655437254376
2023-01-30,54.7028218620894
2023-01-31,56.8437484986895
2023-02-01,53.80101921135191
2023-02-02,44.984331185255556
2023-02-03,47.177779366454516
2023-02-06,54.07871175788203
2023-02-07,52.88294650724151
2023-02-08,55.696231172838665
2023-02-09,54.670902087773456
2023-02-10,59.794992384853835
2023-02-13,60.22539777740643
2023-02-14,59.36982293622327
2023-02-15,59.61695102393774
2023-02-16,60.39521511116711
2023-02-17,55.94434094857086
2023-02-22,49.45905616387422
2023-02-23,55.842192941181715
2023-02-24,50.67310127323831
2023-02-27,52.25946396934162
2023-02-28,44.90707045004661
2023-03-01,45.54177065768103
2023-03-02,40.739993335456894
2023-03-03,49.749215342191825
2023-03-06,51.72514405246234
2023-03-07,45.43947853313315
2023-03-08,47.94211179908324
2023-03-09,47.165495447959565
2023-03-10,44.696340358393684
2023-03-13,39.534716468856686
2023-03-14,36.92548496408443
2023-03-15,34.65914850808892
