Data,BB_Centro_20,BB_Superior_20_2,BB_Inferior_20_2
2022-08-11,13.190000000000001,15.672358810316975,10.707641189683027
2022-08-12,13.410999999999998,15.985186841458338,10.836813158541657
2022-08-15,13.619,16.2487240199407,10.9892759800593
2022-08-16,13.822999999999999,16.50094972634711,11.145050273652888
2022-08-17,14.0455,16.765364354202912,11.325635645797087
2022-08-18,14.2875,17.016153996310166,11.558846003689833
2022-08-19,14.481,17.04040700368793,11.921592996312071
2022-08-22,14.663999999999998,17.133778596512244,12.194221403487754
2022-08-23,14.866,17.27828784177583,12.453712158224171
2022-08-24,15.0665,17.389196028779015,12.743803971220984
2022-08-25,15.238499999999998,17.45510028920548,13.021899710794518
2022-08-26,15.382,17.591706815513515,13.172293184486483
2022-08-29,15.5555,17.74068914031439,13.370310859685608
2022-08-30,15.6755,17.693476839886024,13.657523160113977
2022-08-31,15.813999999999998,17.644138332419185,13.983861667580813
2022-09-01,15.961499999999997,17.597120275067272,14.325879724932724
2022-09-02,16.085,17.499593116133102,14.670406883866901
2022-09-05,16.169999999999998,17.47469597184478,14.865304028155215
2022-09-06,16.2125,17.422369501445072,15.002630498554925
2022-09-08,16.25,17.349626730926936,15.150373269073064
2022-09-09,16.305,17.161320156557675,15.448679843442326
2022-09-12,16.3015,17.16771438941044,15.435285610589563
2022-09-13,16.275,17.237988768585435,15.312011231414562
2022-09-14,16.253,17.269704687238765,15.236295312761237
2022-09-15,16.211,17.29047160563354,15.131528394366457
2022-09-16,16.145500000000002,17.280576626210344,15.01042337378966
2022-09-19,16.134,17.289570490232148,14.978429509767851
2022-09-20,16.101000000000003,17.296463354344073,14.905536645655932
2022-09-21,16.044500000000003,17.243490364739213,14.845509635260791
2022-09-22,16.002,17.15972190097649,14.844278099023507
2022-09-23,15.919000000000002,17.15001840595098,14.687981594049022
2022-09-26,15.815000000000001,17.11083137304552,14.519168626954484
2022-09-27,15.695500000000001,16.91954807267163,14.47145192732837
2022-09-28,15.616999999999999,16.924920808805282,14.309079191194716
2022-09-29,15.520000000000001,16.83679035617135,14.203209643828655
2022-09-30,15.419500000000003,16.620227411109646,14.218772588890358
2022-10-03,15.388499999999999,16.487519179948798,14.2894808200512
2022-10-04,15.34,16.297892423363624,14.382107576636377
2022-10-05,15.351500000000001,16.34508521473901,14.357914785260993
2022-10-06,15.398,16.553774518166367,14.242225481833632
2022-10-07,15.4435,16.730148440921962,14.156851559078039
2022-10-10,15.485,16.855908265962682,14.114091734037316
2022-10-11,15.5435,16.96742008941978,14.11957991058022
2022-10-13,15.613499999999998,17.15499995305344,14.072000046946556
2022-10-14,15.672,17.27341516363384,14.07058483636616
2022-10-17,15.736500000000001,17.378235602791843,14.09476439720816
2022-10-18,15.8095,17.5417875050062,14.077212494993798
2022-10-19,15.916999999999998,17.814334418266178,14.019665581733818
2022-10-20,16.048499999999997,18.17227295842752,13.924727041572474
2022-10-21,16.192,18.629639928507338,13.754360071492663
2022-10-24,16.299,18.68139949807367,13.916600501926329
