Data,MACD_Linha_12_26,MACD_Sinal_9,MACD_Hist_12_26_9
2021-12-30,0.1962765227665315,0.2640720686194734,-0.0677955458529419
2022-01-03,0.1959825030746547,0.2504541555105097,-0.054471652435855
2022-01-04,0.19670961011862786,0.23970524643213334,-0.042995636313505475
2022-01-05,0.16472418560756985,0.22470903426722066,-0.059984848659650813
2022-01-06,0.13698946058485717,0.20716511953074798,-0.07017565894589081
2022-01-07,0.11768744570284895,0.1892695847651682,-0.07158213906231925
2022-01-10,0.09643729221178354,0.17070312625449127,-0.07426583404270773
2022-01-11,0.10102549341152667,0.15676759968589835,-0.05574210627437168
2022-01-12,0.12660285340093935,0.15073465042890655,-0.024131797027967195
2022-01-13,0.16115374395217863,0.15281846913356098,0.00833527481861765
2022-01-14,0.2167004104073964,0.16559485738832808,0.05110555301906833
2022-01-17,0.2585480788790644,0.18418550168647535,0.07436257719258904
2022-01-18,0.2923769008568211,0.2058237815205445,0.0865531193362766
2022-01-19,0.3115604291772076,0.22697111105187712,0.08458931812533049
2022-01-20,0.3294214792381691,0.24746118468913553,0.08196029454903359
2022-01-21,0.3404588092946117,0.26606070961023076,0.07439809968438094
2022-01-24,0.35001274242379665,0.28285111617294395,0.0671616262508527
2022-01-25,0.38142949638627677,0.30256679221561056,0.07886270417066621
2022-01-26,0.4256286113553287,0.3271791560435542,0.09844945531177451
2022-01-27,0.4554070790791691,0.3528247406506772,0.1025823384284919
2022-01-28,0.4376505272493656,0.3697898979704149,0.0678606292789507
2022-01-31,0.413964903710351,0.37862489911840214,0.03534000459194886
2022-02-01,0.4082401000406364,0.384547939302849,0.023692160737787404
2022-02-02,0.3855412926066357,0.3847466099636063,0.0007946826430293985
2022-02-03,0.3513978817383272,0.37807686431855053,-0.02667898258022333
2022-02-04,0.3357995070496127,0.36962139286476303,-0.03382188581515033
2022-02-07,0.30698825044677847,0.35709476438116616,-0.0501065139343877
2022-02-08,0.27214195823148835,0.3401042031512306,-0.06796224491974223
2022-02-09,0.2449302824704347,0.3210694190150714,-0.07613913654463672
2022-02-10,0.23438061875484806,0.30373165896302673,-0.06935104020817867
2022-02-11,0.25854392360725065,0.29469411189187156,-0.03615018828462091
2022-02-14,0.25458589836503265,0.2866724691865038,-0.03208657082147115
2022-02-15,0.23422464327936332,0.2761829040050757,-0.041958260725712404
2022-02-16,0.22756867826034188,0.266460058856129,-0.03889138059578712
2022-02-17,0.21656963241056104,0.2564819735670154,-0.03991234115645437
2022-02-18,0.21106816193098688,0.2473992112398097,-0.03633104930882283
2022-02-21,0.2266887401942146,0.2432571170306907,-0.016568376836476106
2022-02-22,0.2331528543298571,0.241236264490524,-0.008083410160666882
2022-02-23,0.24832385139533386,0.24265378187148598,0.0056700695238478815
2022-02-24,0.23584159722845222,0.24129134494287924,-0.005449747714427022
2022-02-25,0.23932881579026066,0.24089883911235555,-0.0015700233220948823
2022-03-02,0.2568834307228389,0.24409575743445222,0.012787673288386703
2022-03-03,0.25654150873870485,0.24658490769530278,0.009956601043402069
2022-03-04,0.25335007118716035,0.24793794039367428,0.00541213079348607
2022-03-07,0.18254937143951722,0.2348602266028429,-0.052310855163325676
2022-03-08,0.142548260566695,0.21639783339561333,-0.07384957282891833
2022-03-09,0.11277476047469293,0.19567321881142924,-0.08289845833673631
2022-03-10,0.11847615202113104,0.18023380545336962,-0.061757653432238574
2022-03-11,0.08888634594473821,0.16196431355164334,-0.07307796760690513
2022-03-14,0.04873608368038873,0.13931866757739245,-0.09058258389700372
2022-03-15,-0.004016812209689746,0.11065157161997602,-0.11466838382966577
2022-03-16,-0.052481140189556186,0.07802502925806958,-0.13050616944762577
2022-03-17,-0.11139215339099628,0.0401415927282564,-0.1515337461192527
2022-03-18,-0.14032366341045943,0.004048541500513234,-0.14437220491097266
2022-03-21,-0.13107828050934955,-0.022976822901459325,-0.10810145760789022
2022-03-22,-0.1263295813075196,-0.04364737458267138,-0.08268220672484822
2022-03-23,-0.10920362516583104,-0.05675862469930332,-0.052445000466527725
2022-03-24,-0.0849687179304226,-0.062400643345527175,-0.022568074584895424
2022-03-25,-0.06820383370974348,-0.06356128141837045,-0.004642552291373031
2022-03-28,-0.07263927959143501,-0.06537688105298337,-0.007262398538451648
2022-03-29,-0.056938967623057835,-0.06368929836699826,0.006750330743940422
2022-03-30,-0.025641697931328977,-0.056079778279864406,0.03043808034853543
2022-03-31,0.011934700806421006,-0.04247688246260733,0.054411583269028334
2022-04-01,0.029273079295467852,-0.02812689011099229,0.05739996940646014
2022-04-04,0.03454647464391769,-0.015592217160010295,0.050138691803927986
2022-04-05,0.02950943140245954,-0.006571887447516329,0.03608131884997587
2022-04-06,0.024429019388181317,-0.0003717060803768001,0.02480072546855812
2022-04-07,0.06484261089394039,0.012671157314486637,0.052171453579453755
2022-04-08,0.10055305881561516,0.030247537614712345,0.07030552120090282
2022-04-11,0.12020593899566734,0.04823921789090335,0.07196672110476399
2022-04-12,0.13184046404846583,0.06495946712241585,0.06688099692604998
2022-04-13,0.15859867639412073,0.08368730897675683,0.0749113674173639
2022-04-14,0.16658760428437347,0.10026736803828015,0.06632023624609332
2022-04-18,0.15499388563104866,0.11121267155683386,0.0437812140742148
2022-04-19,0.17126668286127966,0.12322347381772303,0.048043209043556634
2022-04-20,0.18685059313725816,0.13594889768163007,0.05090169545562809
2022-04-22,0.16023570126644593,0.14080625839859326,0.01942944286785267
2022-04-25,0.12479399736462682,0.1376038061918,-0.01280980882717317
2022-04-26,0.09400868522086725,0.12888478199761344,-0.03487609677674619
2022-04-27,0.06881781462138647,0.11687138852236806,-0.04805357390098158
2022-04-28,0.05388117452639385,0.10427334572317323,-0.050392171196779384
2022-04-29,0.04236236904426072,0.09189115038739074,-0.04952878134313002
2022-05-02,0.024079973079123462,0.07832891492573728,-0.054248941846613816
2022-05-03,0.017458950906105386,0.0661549221218109,-0.048695971215705514
2022-05-04,0.0647221506177722,0.06586836782100317,-0.0011462172032309648
2022-05-05,0.09941870707998923,0.07257843567280038,0.02684027140718885
2022-05-06,0.15658075323038645,0.0893788991843176,0.06720185404606885
2022-05-09,0.17325664975015265,0.1061544492974846,0.06710220045266804
2022-05-10,0.19232458406335695,0.12338847625065907,0.06893610781269788
2022-05-11,0.23777866839349393,0.14626651467922605,0.09151215371426788
2022-05-12,0.27865832228869003,0.17274487620111886,0.10591344608757117
2022-05-13,0.3202744804995845,0.202250797060812,0.11802368343877251
2022-05-16,0.3588025306021425,0.2335611437690781,0.1252413868330644
2022-05-17,0.3721358743508443,0.26127608988543133,0.11085978446541295
2022-05-18,0.3615892248736081,0.28133871688306666,0.08025050799054145
2022-05-19,0.36595764223618765,0.29826250195369086,0.06769514028249679
2022-05-20,0.38435503313580277,0.31548100819011327,0.0688740249456895
2022-05-23,0.4342748689330982,0.3392397803387103,0.09503508859438792
2022-05-24,0.43812345972661326,0.35901651621629094,0.07910694351032233
2022-05-25,0.45050485183290867,0.37731418333961453,0.07319066849329414
2022-05-26,0.45746457668162677,0.39334426200801703,0.06412031467360974
2022-05-27,0.4082453915724251,0.3963244879208987,0.011920903651526427
2022-05-30,0.34508796287920696,0.3860771829125604,-0.040989220033353424
2022-05-31,0.29406618298703613,0.36767498292745554,-0.07360879994041941
2022-06-01,0.2491452308437463,0.3439690325107137,-0.09482380166696741
2022-06-02,0.20313428280163848,0.3158020825688987,-0.11266779976726021
2022-06-03,0.18152303538629333,0.28894627313237764,-0.10742323774608431
2022-06-06,0.16332022860348694,0.2638210642265995,-0.10050083562311257
2022-06-07,0.15836566227959636,0.24272998383719888,-0.08436432155760251
2022-06-08,0.1478928178688026,0.22376255064351963,-0.07586973277471704
2022-06-09,0.12444095608976191,0.2038982317327681,-0.0794572756430062
2022-06-10,0.09028988539575877,0.18117656246536623,-0.09088667706960746
2022-06-13,0.050538591998510185,0.15504896837199503,-0.10451037637348484
2022-06-14,0.029188848259941835,0.12987694434958438,-0.10068809608964255
2022-06-15,-0.004622932142183345,0.10297696905123084,-0.10759990119341419
2022-06-17,-0.08769913693424947,0.06484174785413478,-0.15254088478838423
2022-06-20,-0.14221526163533404,0.02343034595624102,-0.16564560759157507
2022-06-21,-0.2008564959551542,-0.021427022426038028,-0.17942947352911617
2022-06-22,-0.24690468243416142,-0.06652255442766271,-0.18038212800649872
2022-06-23,-0.29692072959082694,-0.11260218946029556,-0.1843185401305314
2022-06-24,-0.33910514568689365,-0.1579027807056152,-0.18120236498127845
2022-06-27,-0.3132484329907985,-0.18897191116265188,-0.12427652182814664
2022-06-28,-0.2782524508728823,-0.20682801910469797,-0.07142443176818433
2022-06-29,-0.2556401862406332,-0.21659045253188502,-0.0390497337087482
